np,nc,no
3.19328,0.411377,216.456
3.06119,0.245361,216.246
3.01173,0.294189,219.283
3.01002,-0.0537109,216.875
2.96861,0.336914,217.294
2.80339,-0.302734,216.456
2.75536,0.270996,217.817
2.60806,-0.175781,216.037
2.46289,0.192871,217.817
2.27306,-0.270996,218.655
2.22298,0.0292969,215.618
2.10786,-0.249023,219.283
2.13545,-0.0366211,216.456
1.87653,0.101318,218.027
1.77423,-0.111084,216.665
1.67369,0.0488281,216.875
1.64956,-0.167236,218.027
1.42041,0.194092,214.885
1.37007,-0.198975,216.665
1.38328,0.0268555,216.246
1.38124,-0.319824,213
1.27694,0.12085,216.246
1.07961,-0.196533,214.466
1.0088,-0.289307,215.094
0.90463,-0.065918,215.618
0.731399,-0.250244,212.058
0.612218,-0.0695801,213
0.573094,-0.412598,209.44
0.640187,-0.380859,210.068
0.521012,-0.285645,210.801
0.405474,-0.565186,209.649
0.420391,-0.274658,211.639
0.329189,-0.639648,208.602
0.232314,-0.45166,207.869
0.0907161,-0.284424,206.612
0.0161919,-0.423584,206.612
0.103743,-0.461426,205.251
0.111236,-0.349121,204.413
-0.00988601,-0.43457,205.46
-0.0825359,-0.592041,202.633
-0.205468,-0.554199,203.575
-0.157026,-0.777588,202.214
-0.235277,-0.69458,200.434
-0.419691,-0.513916,200.434
-0.360174,-0.692139,198.444
-0.408595,-0.471191,198.025
-0.395481,-0.635986,197.397
-0.429035,-0.587158,195.826
-0.497972,-0.671387,194.988
-0.46449,-0.637207,194.779
-0.481292,-0.888672,191.742
-0.541024,-0.611572,189.962
-0.652783,-0.516357,192.789
-0.529721,-0.632324,189.333
-0.438399,-0.772705,190.381
-0.44585,-0.935059,191.009
-0.538968,-0.723877,184.935
-0.563279,-0.646973,186.401
-0.468251,-0.773926,183.783
-0.539025,-0.698242,183.783
-0.57068,-0.725098,181.375
-0.650853,-0.583496,181.375
-0.691773,-0.697021,181.375
-0.620904,-0.759277,179.385
-0.566994,-0.761719,176.976
-0.518614,-0.581055,177.186
-0.524132,-0.551758,173.94
-0.563251,-0.693359,174.358
-0.520379,-0.726318,174.358
-0.440247,-0.738525,169.332
-0.462605,-0.633545,172.369
-0.498021,-0.52002,169.332
-0.533442,-0.611572,168.704
-0.509097,-0.628662,169.96
-0.447685,-0.528564,166.086
-0.393688,-0.285645,165.876
-0.330353,-0.605469,164.934
-0.306143,-0.675049,164.934
-0.27628,-0.623779,162.316
-0.311737,-0.651855,161.268
-0.389991,-0.604248,160.117
-0.2409,-0.576172,160.117
-0.22225,-0.478516,159.069
-0.268815,-0.621338,157.289
-0.084401,-0.506592,157.289
0.0348274,-0.384521,154.043
0.0124777,-0.603027,154.043
0.00688671,-0.532227,153.833
0.062757,-0.323486,153.833
0.0553111,-0.388184,152.681
0.163388,-0.456543,151.844
0.226679,-0.258789,153.1
0.211773,-0.288086,149.645
0.262046,-0.445557,147.864
0.319787,-0.0598145,149.226
0.362642,-0.161133,146.084
0.34031,-0.404053,144.827
0.397977,-0.241699,146.294
0.502282,-0.395508,145.456
0.647595,-0.352783,144.618
0.668123,-0.24292,145.875
0.651377,-0.334473,145.037
0.787227,-0.15625,144.827
0.835553,-0.196533,143.676
0.791002,-0.32959,142
0.996156,-0.310059,142
0.99807,-0.0610352,141.058
0.917784,-0.213623,140.22
1.07776,-0.0695801,142.838
1.13351,-0.0927734,142
1.09808,-0.174561,137.811
1.25439,-0.00976563,140.848
1.34234,0.118408,139.801
1.30511,0.22583,139.068
1.3141,0.0805664,142.419
1.33471,0.0402832,139.801
1.41664,0.155029,138.23
1.48561,0.0695801,138.858
1.57137,0.0915527,138.858
1.60307,0.197754,139.801
1.66646,0.0231934,140.639
1.69988,0.0866699,138.44
1.80959,0.134277,138.44
1.86902,0.133057,138.021
1.95449,0.377197,138.858
1.99581,0.336914,141.686
1.97719,0.41748,139.277
2.15768,0.356445,139.487
2.22457,0.253906,139.487
2.22238,0.408936,138.23
2.39906,0.474854,140.01
2.35244,0.36499,140.429
2.29727,0.557861,141.058
2.43321,0.666504,142.209
2.5163,0.379639,141.686
2.63912,0.478516,144.094
2.76952,0.412598,143.466
2.69178,0.480957,143.885
2.79759,0.345459,142.838
2.9837,0.396729,141.476
3.02874,0.528564,144.618
3.14355,0.361328,145.037
3.25305,0.540771,144.827
3.145,0.567627,148.074
3.05927,0.336914,148.493
3.25343,0.715332,149.226
3.47507,0.522461,150.692
3.57781,0.362549,148.493
3.60942,0.559082,150.273
3.51561,0.560303,150.901
3.32569,0.488281,149.645
3.41437,0.72876,154.671
3.63823,0.596924,153.519
3.62399,0.45166,151.425
3.61421,0.704346,156.451
3.64237,0.878906,154.462
3.60755,0.594482,156.661
3.82679,0.673828,159.069
3.98078,0.919189,156.87
3.88167,1.02173,158.127
3.8673,0.718994,159.488
3.79476,0.997314,161.687
3.86697,0.864258,161.897
3.97325,0.849609,161.687
3.82392,0.517578,162.106
3.95746,0.762939,163.468
3.88,0.628662,164.934
3.72453,0.725098,164.724
3.93284,0.715332,166.923
3.93776,0.810547,165.876
3.86641,0.977783,165.352
3.81957,0.793457,169.332
3.73247,0.491943,169.541
3.7403,0.478516,169.122
3.84683,0.758057,173.311
4.02391,0.749512,172.892
3.95325,0.681152,170.17
3.82454,0.594482,174.149
3.72937,0.550537,171.95
3.72615,0.465088,171.322
3.77492,0.515137,175.51
3.82524,0.560303,174.777
3.53296,0.847168,176.558
3.57152,0.628662,178.338
3.68309,0.455322,179.385
3.60869,0.517578,177.709
3.5696,0.567627,178.966
3.30529,0.618896,179.176
3.34781,0.510254,178.966
3.34792,0.498047,182.317
3.29289,0.565186,178.757
3.25013,0.487061,182.527
3.15269,0.19043,181.794
3.15431,0.397949,181.584
3.17445,0.450439,184.726
3.11703,0.528564,182.317
3.02657,0.490723,183.364
3.0619,0.263672,185.145
2.99457,0.324707,184.202
2.80879,0.473633,184.726
2.87683,0.450439,185.354
2.735,0.407715,185.982
2.51647,-0.0634766,185.354
2.53902,0.305176,186.401
2.47766,0.46875,185.982
2.36186,0.231934,183.364
2.30392,0.196533,187.763
2.12178,0.102539,187.344
2.07559,0.177002,185.773
2.08286,0.0549316,190.171
1.95037,-0.0866699,185.982
1.78853,0.290527,185.982
1.7144,0.216064,187.972
1.78339,-0.0866699,183.364
1.81887,-0.24292,186.401
1.53388,0.262451,186.192
1.35325,0.0842285,187.553
1.41267,-0.26001,187.972
1.3808,-0.280762,185.354
1.34183,-0.0793457,185.354
1.14489,-0.17334,184.202
0.990326,-0.186768,184.202
0.927015,-0.252686,185.145
0.753727,-0.161133,181.794
0.7591,-0.15625,184.726
0.822475,-0.286865,182.317
0.612198,-0.367432,182.003
0.448282,-0.268555,183.155
0.412968,-0.251465,180.537
0.502365,-0.238037,180.327
0.563765,-0.281982,180.956
0.37381,-0.540771,178.966
0.226656,-0.524902,177.919
0.127965,-0.307617,177.709
0.181989,-0.439453,177.5
0.0888324,-0.438232,175.72
-0.0154638,-0.596924,175.51
0.036693,-0.584717,175.301
-0.106736,-0.57251,171.322
-0.116062,-0.581055,172.578
-0.0545913,-0.321045,173.102
-0.151474,-0.574951,170.903
-0.218551,-0.55542,170.903
-0.253942,-0.780029,172.892
-0.196168,-0.695801,167.133
-0.265074,-0.534668,166.923
-0.309768,-0.568848,167.761
-0.293021,-0.682373,162.106
-0.322883,-0.561523,164.724
-0.2912,-0.493164,164.096
-0.307997,-0.616455,162.316
-0.337762,-0.578613,163.258
-0.348828,-0.617676,162.316
